event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
1,1,5,-1.976,-0.022,-3.380,-0.468,0.075,-0.880,19.851,1.000,4.158,981.318,4.078
1,1,6,-2.433,0.051,-4.239,-0.482,0.058,-0.874,19.820,1.000,5.158,974.868,6.450
1,1,7,-2.904,0.108,-5.093,-0.582,-0.279,-0.764,33.068,1.000,6.158,972.689,2.178
1,1,8,-3.471,-0.164,-5.839,-0.566,0.148,-0.811,11.894,1.000,7.158,967.758,4.931
1,1,9,-4.024,-0.020,-6.631,-0.554,-0.083,-0.828,23.325,1.000,8.158,963.899,3.859
1,1,10,-4.564,-0.101,-7.439,-0.659,-0.383,-0.647,38.718,1.000,9.158,957.747,6.152
1,1,11,-5.207,-0.475,-8.071,-0.633,-0.214,-0.744,28.766,1.000,10.158,952.866,4.881
1,1,12,-5.824,-0.683,-8.797,-0.262,-0.102,-0.960,36.114,1.000,11.158,936.496,16.370
1,1,13,-6.079,-0.782,-9.732,-0.368,-0.159,-0.916,33.592,1.000,12.158,930.740,5.756
1,1,14,-6.438,-0.937,-10.625,-0.284,0.076,-0.956,29.611,1.000,13.158,925.685,5.055
1,1,15,-6.715,-0.864,-11.557,-0.305,-0.015,-0.952,31.146,1.000,14.158,922.574,3.110
1,1,16,-7.012,-0.878,-12.484,-0.396,-0.018,-0.918,26.821,1.000,15.158,918.998,3.577
1,1,17,-7.398,-0.895,-13.379,-0.483,-0.140,-0.864,28.424,1.000,16.158,914.439,4.559
1,1,18,-7.868,-1.032,-14.220,-0.568,-0.180,-0.803,27.951,1.000,17.158,911.200,3.239
1,1,19,-8.422,-1.207,-15.003,-0.687,-0.182,-0.703,26.659,1.000,18.158,904.073,7.127
1,1,20,-9.091,-1.384,-15.687,-0.673,-0.185,-0.716,26.871,1.000,19.158,898.912,5.161
1,1,21,-9.746,-1.565,-16.384,-0.717,-0.241,-0.654,30.325,1.000,20.158,893.895,5.017
1,1,22,-10.443,-1.800,-17.020,-0.759,-0.280,-0.588,33.384,1.000,21.158,888.688,5.207
1,1,23,-11.182,-2.072,-17.592,-0.630,-0.034,-0.776,18.800,1.000,22.158,883.610,5.078
1,1,24,-11.794,-2.105,-18.347,-0.742,-0.015,-0.671,17.388,1.000,23.158,879.527,4.083
1,1,25,-12.189,-2.113,-18.704,-0.787,-0.162,-0.596,26.889,0.540,23.699,837.841,1.111
1,1,26,-12.952,-2.270,-19.282,-0.868,0.147,-0.474,18.456,1.000,24.699,831.025,6.816
1,1,27,-13.795,-2.127,-19.742,-0.863,0.370,-0.345,23.361,1.000,25.699,824.854,6.172
1,1,28,-14.631,-1.768,-20.076,-0.703,0.696,-0.146,40.078,1.000,26.699,820.195,4.659
1,1,29,-15.313,-1.094,-20.217,-0.815,0.518,-0.260,29.667,1.000,27.699,815.658,4.537
1,1,30,-16.103,-0.591,-20.469,-0.733,0.534,-0.421,21.640,1.000,28.699,812.146,3.511
1,1,31,-16.813,-0.073,-20.877,-0.776,0.496,-0.390,22.175,1.000,29.699,805.442,6.705
1,1,32,-17.564,0.407,-21.255,-0.778,0.435,-0.454,17.367,1.000,30.699,801.398,4.044
1,1,33,-18.317,0.828,-21.695,-0.871,0.302,-0.389,20.837,1.000,31.699,799.092,2.306
1,1,34,-19.160,1.120,-22.071,-0.954,0.250,-0.163,34.829,1.000,32.699,797.287,1.805
1,1,35,-20.084,1.362,-22.229,-0.962,0.241,0.128,51.433,1.000,33.699,793.784,3.503
1,1,36,-21.016,1.595,-22.105,-0.978,0.149,0.148,53.521,1.000,34.699,790.374,3.411
1,1,37,-21.962,1.739,-21.962,-0.980,0.057,0.191,57.272,1.000,35.699,785.818,4.556
1,1,38,-22.910,1.794,-21.778,-0.971,-0.236,0.041,56.204,1.000,36.699,767.270,18.548
1,1,39,-23.849,1.566,-21.738,-0.929,-0.344,0.135,64.311,1.000,37.699,762.211,5.060
1,1,40,-24.746,1.233,-21.607,-0.738,-0.660,0.139,77.604,1.000,38.699,758.107,4.103
1,1,41,-25.459,0.596,-21.473,-0.591,-0.782,-0.198,71.679,1.000,39.699,755.354,2.754
1,1,42,-26.030,-0.159,-21.664,-0.624,-0.775,-0.100,74.262,1.000,40.699,752.061,3.292
1,1,43,-26.633,-0.907,-21.760,-0.481,-0.728,-0.489,62.882,1.000,41.699,749.481,2.580
1,1,44,-27.097,-1.609,-22.232,-0.555,-0.629,-0.544,55.178,1.000,42.699,740.620,8.861
1,1,45,-27.633,-2.216,-22.756,-0.321,-0.552,-0.770,53.747,1.000,43.699,730.390,10.230
1,1,46,-27.942,-2.748,-23.498,0.068,-0.625,-0.778,71.596,1.000,44.699,729.046,1.344
1,1,47,-27.935,-2.811,-23.576,-0.211,-0.534,-0.819,56.223,0.100,44.799,588.219,1.384
1,1,48,-28.136,-3.318,-24.354,-0.180,-0.579,-0.795,59.535,1.000,45.799,585.527,2.692
1,1,49,-28.307,-3.868,-25.110,-0.414,-0.419,-0.808,44.224,1.000,46.799,581.855,3.671
1,1,50,-28.700,-4.267,-25.877,-0.245,-0.081,-0.966,36.220,1.000,47.799,577.025,4.830
1,1,51,-28.932,-4.344,-26.794,-0.070,-0.507,-0.859,60.210,1.000,48.799,571.090,5.935
1,1,52,-28.999,-4.825,-27.609,-0.096,-0.120,-0.988,44.656,1.000,49.799,567.667,3.423
1,1,53,-29.090,-4.939,-28.546,-0.396,-0.599,-0.696,54.725,1.000,50.799,562.147,5.520
1,1,54,-29.465,-5.506,-29.205,-0.455,-0.515,-0.726,48.606,1.000,51.799,556.643,5.504
1,1,55,-29.896,-5.994,-29.893,-0.639,-0.600,-0.481,53.712,1.000,52.799,551.789,4.854
1,1,56,-30.500,-6.562,-30.348,-0.639,-0.709,-0.299,64.145,1.000,53.799,549.362,2.427
1,1,57,-31.104,-7.232,-30.630,-0.259,0.063,0.964,118.219,1.000,54.799,543.654,5.708
1,1,58,-31.348,-7.173,-29.720,0.110,-0.298,0.948,144.058,1.000,55.799,541.222,2.432
1,1,59,-31.244,-7.455,-28.824,0.212,-0.244,0.946,149.481,1.000,56.799,536.882,4.340
1,1,60,-31.044,-7.685,-27.931,-0.282,-0.411,0.867,121.500,1.000,57.799,532.381,4.502
1,1,61,-31.310,-8.073,-27.114,-0.227,-0.769,0.597,118.253,1.000,58.799,529.124,3.256
1,1,62,-31.352,-8.213,-27.005,-0.436,-0.820,0.371,101.023,0.184,58.983,469.671,2.583
1,1,63,-31.758,-8.977,-26.659,-0.255,-0.923,0.288,106.545,1.000,59.983,461.892,7.779
1,1,64,-31.995,-9.836,-26.391,-0.324,-0.881,0.344,105.411,1.000,60.983,441.810,20.082
1,1,65,-32.295,-10.652,-26.072,-0.438,-0.735,0.518,105.539,1.000,61.983,436.565,5.245
1,1,66,-32.700,-11.331,-25.593,-0.013,-0.976,0.217,114.349,1.000,62.983,425.635,10.929
1,1,67,-32.712,-12.231,-25.393,0.048,-0.946,0.321,121.117,1.000,63.983,415.617,10.019
1,1,68,-32.668,-13.100,-25.098,-0.379,-0.562,0.735,114.113,1.000,64.983,410.997,4.620
1,1,69,-33.016,-13.616,-24.424,-0.199,-0.534,0.822,125.509,1.000,65.983,408.393,2.603
1,1,70,-33.173,-14.037,-23.775,0.026,-0.043,0.999,135.817,0.850,66.833,346.322,1.980
1,1,71,-33.150,-14.076,-22.881,-0.323,0.376,0.868,106.065,1.000,67.833,344.326,1.995
1,1,72,-33.439,-13.739,-22.104,-0.078,0.209,0.975,124.109,1.000,68.833,335.977,8.349
1,1,73,-33.509,-13.553,-21.236,0.016,0.091,0.996,132.168,1.000,69.833,333.572,2.405
1,1,74,-33.494,-13.473,-20.351,0.220,-0.162,0.962,148.755,1.000,70.833,329.407,4.165
